price,reviews_per_month,accommodates,bathrooms,bedrooms,beds,property_type,room_type,neighbourhood,minimum_nights
300,3.47,4,1.5,2,2,Other,Entire home/apt,North End,3
110,0.51,2,1,0,1,Other,Entire home/apt,East Boston,91
198,0.17,4,2,2,2,Other,Entire home/apt,South End,91
125,1.89,2,1,1,1,Other,Private room,Fenway,1
186,0.07,5,2,2,3,Apartment,Entire home/apt,Fenway,28
100,4.56,5,1,1,2,House,Private room,Dorchester,1
350,0.02,5,2,2,3,House,Entire home/apt,South Boston,91
88,2.57,1,1,1,1,Other,Private room,Jamaica Plain,29
91,1.25,4,1.5,2,3,Other,Private room,Roslindale,3
300,0.53,2,1,1,1,Apartment,Entire home/apt,Back Bay,3
64,2.39,2,1,1,1,House,Private room,South Boston,5
75,5.88,2,1,1,1,Other,Private room,East Boston,3
169,0.13,3,1,1,2,Apartment,Entire home/apt,West End,3
600,3.04,8,2,4,5,Apartment,Entire home/apt,Beacon Hill,2
65,0.75,2,1,1,1,Other,Private room,Roslindale,3
199,0.27,2,1,1,1,Apartment,Entire home/apt,Fenway,91
159,1.55,4,1,0,2,Apartment,Entire home/apt,Roxbury,3
80,1.79,3,1,1,1,Other,Entire home/apt,Brighton,31
200,0.38,4,1,3,5,Apartment,Entire home/apt,Hyde Park,28
45,0.11,1,0,1,0,House,Private room,Allston,91
105,2.64,2,1.5,1,1,Other,Private room,Jamaica Plain,2
65,3.97,1,1,1,1,Apartment,Private room,Jamaica Plain,2
70,1.78,2,1.5,1,1,House,Private room,West Roxbury,2
230,0.05,2,1,2,2,Other,Private room,Allston,91
240,2.94,5,1,2,2,Apartment,Entire home/apt,South Boston,2
245,2.54,6,2,3,3,Apartment,Entire home/apt,West Roxbury,1
375,1.54,6,2.5,4,4,House,Entire home/apt,South Boston,3
240,3.03,5,1,2,2,Apartment,Entire home/apt,South Boston,2
125,2.68,4,1,2,2,Apartment,Entire home/apt,South Boston,2
375,3.57,5,1.5,2,2,Apartment,Entire home/apt,Beacon Hill,2
212,3.4,6,1,2,2,Other,Entire home/apt,Brighton,91
298,0.58,5,2,2,3,Other,Entire home/apt,Fenway,29
85,2.34,3,1,1,1,Other,Entire home/apt,Hyde Park,1
200,1.26,4,1,1,0,Apartment,Entire home/apt,South End,28
154,3.43,2,1,1,2,Apartment,Private room,South End,3
250,1.8,10,2,5,6,Other,Entire home/apt,Jamaica Plain,3
53,1.04,2,1,1,1,House,Private room,South Boston,5
45,1.75,1,1,1,1,Other,Private room,Roslindale,91
350,0.26,14,2,3,8,Other,Entire home/apt,Roxbury,28
50,0.16,1,1,1,1,House,Private room,Roslindale,28
149,3.82,2,2,1,2,Apartment,Private room,South Boston Waterfront,1
90,0.53,3,1,1,1,Apartment,Entire home/apt,Brighton,91
395,0.93,4,1.5,2,2,Other,Entire home/apt,Back Bay,3
200,1.55,4,1,1,2,Apartment,Entire home/apt,Back Bay,2
200,0.42,4,1,1,2,Apartment,Entire home/apt,Charlestown,91
129,4.37,2,1,1,1,Other,Entire home/apt,Downtown,91
90,0.1,2,1,1,1,Apartment,Entire home/apt,Chinatown,91
150,2.01,2,1,0,1,Apartment,Entire home/apt,South End,1
150,1.61,2,1,0,1,Apartment,Entire home/apt,South End,1
150,2.63,2,1,0,1,Apartment,Entire home/apt,South End,1
150,2.14,2,1,0,1,Apartment,Entire home/apt,Back Bay,1
150,0.88,2,1,0,1,Apartment,Entire home/apt,South End,1
150,2.22,2,1,0,1,Apartment,Entire home/apt,South End,1
150,2.68,2,1,0,1,Apartment,Entire home/apt,South End,1
89,3.65,2,1,1,1,House,Private room,Jamaica Plain,1
70,1.73,2,2.5,1,1,House,Private room,Dorchester,91
181,0.15,5,2,2,3,Apartment,Entire home/apt,Fenway,28
195,1.7,4,1,1,1,Apartment,Entire home/apt,South End,91
33,0.21,1,2,1,1,Apartment,Private room,Roxbury,91
150,1.8,2,1,0,1,Apartment,Entire home/apt,South End,1
37,0.1,1,2,1,1,Apartment,Private room,Roxbury,91
65,4.68,1,2,1,1,House,Private room,Allston,91
179,0.02,5,2,2,3,Apartment,Entire home/apt,Fenway,28
150,2.06,2,1,0,1,Apartment,Entire home/apt,South End,1
150,1.05,2,1,0,1,Apartment,Entire home/apt,South End,1
150,3.08,2,1,0,1,Apartment,Entire home/apt,Back Bay,1
150,2.84,2,1,0,1,Apartment,Entire home/apt,Back Bay,1
150,2.3,2,1,0,1,Apartment,Entire home/apt,Back Bay,1
190,0.62,3,1,2,1,Other,Entire home/apt,Jamaica Plain,2
250,0.02,4,2,2,2,Apartment,Entire home/apt,Jamaica Plain,91
188,0.2,5,2,2,3,Apartment,Entire home/apt,Fenway,28
150,0.43,2,2,1,1,House,Private room,Jamaica Plain,91
